部分,考试类型,问题类型,问答对,三元组
高考学考,秋考,报名篇,问：非本市户籍往届考生，父母双方或一方现属上海市常住户籍，参加本市中招且具有本市高中阶段完整学习经历。考生于2022年参加高考，未前往录取学校报到。2023年没有参加高考在复读2024年是否可以参与高考？答：不可以。考生父母双方或一方现属上海市常住户籍，考生本人持《上海市居住证》，且考生须是参加本市中招并具有本市高中阶段完整学习经历的应届毕业生或2023年已列入本市高考报名库的往届毕业生。,"['（非本市户籍往届考生，父母属，上海市常住户籍）', '（非本市户籍往届考生，参加，本市中招）', '（非本市户籍往届考生，具有，本市高中阶段完整学习经历）', '（非本市户籍往届考生，未前往，录取学校）', '（非本市户籍往届考生，未参加，2023年高考）', '（非本市户籍往届考生，需持，《上海市居住证》）', '（非本市户籍往届考生，需是，应届毕业生）', '（非本市户籍往届考生，需是，2023年已列入本市高考报名库的往届毕业生）']"
高考学考,秋考,报名篇,问：梅山、大屯、鲁矿三地高中考生是否也可以参加上海的高考？答：梅山、大屯、鲁矿三地上海后方基地单位职工子女，且纳入市教委锁定名单，须参加本市中招且本市高中阶段学校毕业。,"['（上海后方基地单位职工子女，所在地，梅山', '大屯', '鲁矿三地）', '（上海后方基地单位职工子女，需纳入，市教委锁定名单）', '（上海后方基地单位职工子女，需参加，本市中招）', '（上海后方基地单位职工子女，需毕业，本市高中阶段学校）', '（上海后方基地单位职工子女，可以参加，上海的高考）']"
高考学考,秋考,报名篇,问：台湾同胞，香港、澳门华侨考生高考考卷是否比上海高考考卷容易？答：该考试是“普通高校联合招收华侨港澳台学生入学考试”，并非上海秋考。详情请咨询广东省考试院（专线电话020-62833628），上海设立考点。,"['（普通高校联合招收华侨港澳台学生入学考试，并非，上海秋考）', '（广东省考试院，有，专线电话020-62833628）', '（上海，设立，考点）', '（台湾同胞，参加，普通高校联合招收华侨港澳台学生入学考试）', '（香港，参加，普通高校联合招收华侨港澳台学生入学考试）', '（澳门，参加，普通高校联合招收华侨港澳台学生入学考试）', '（华侨考生，参加，普通高校联合招收华侨港澳台学生入学考试）', '（高考考卷，属于，普通高校联合招收华侨港澳台学生入学考试）', '（上海高考考卷，属于，上海秋考）']"
高考学考,秋考,报名篇,问：考生是高三应届毕业生，可以报考哪些考试项目？（本市学籍应届高中毕业生可以报考哪些考试项目？）答：符合报名条件的本市学籍应届高中毕业生可以报考春季考试、1月份外语考试、专科自主招生考试、秋季统一高考（含艺术类统一考试、体育类统一考试）。,"['（高三应届毕业生，等同于，本市学籍应届高中毕业生）', '（本市学籍应届高中毕业生，可报考，春季考试）', '（本市学籍应届高中毕业生，可报考，1月份外语考试）', '（本市学籍应届高中毕业生，可报考，专科自主招生考试）', '（本市学籍应届高中毕业生，可报考，秋季统一高考）', '（秋季统一高考，包含，艺术类统一考试）', '（秋季统一高考，包含，体育类统一考试）']"
高考学考,秋考,报名篇,问：考生2023年高考失利，复读中，准备参加2024年高考，是所有的考试都可以报名吗？（符合报名条件的往届高中阶段学校毕业生可以报考哪些考试项目？）答：符合报名条件的往届高中阶段毕业生可以报考：春季考试、1月份外语考试、专科自主招生考试、秋季统一高考（含艺术类统一考试、体育类统一考试）。,"['（符合报名条件的往届高中阶段学校毕业生，可报考，春季考试）', '（符合报名条件的往届高中阶段学校毕业生，可报考，1月份外语考试）', '（符合报名条件的往届高中阶段学校毕业生，可报考，专科自主招生考试）', '（符合报名条件的往届高中阶段学校毕业生，可报考，秋季统一高考）', '（秋季统一高考，包含，艺术类统一考试）', '（秋季统一高考，包含，体育类统一考试）']"
高考学考,秋考,报名篇,问：考生是上海户籍，但是人在外省市读高中，回上海可以参加哪些考试项目？（符合报名条件但非本市学籍应届高中阶段毕业生可以报考哪些考试项目？）答：符合报名条件但非本市学籍应届高中阶段毕业生可报考：春季考试、1月份外语考试、专科自主招生考试、秋季统一高考（含本市艺体类专业统一考试）。,"['（考生，具有，上海户籍）', '（考生，就读于，高中）', '（高中，位于，外省市）', '（考生，属于，符合报名条件但非本市学籍应届高中阶段毕业生）', '（符合报名条件但非本市学籍应届高中阶段毕业生，可报考，春季考试）', '（符合报名条件但非本市学籍应届高中阶段毕业生，可报考，1月份外语考试）', '（符合报名条件但非本市学籍应届高中阶段毕业生，可报考，专科自主招生考试）', '（符合报名条件但非本市学籍应届高中阶段毕业生，可报考，秋季统一高考）', '（秋季统一高考，包含，本市艺体类专业统一考试）']"
高考学考,秋考,报名篇,问：考生目前读中职校，符合报名条件，可以参加哪些高考考试？（本市学籍应届三校生可以报考哪些考试项目？）答：符合报名条件本市学籍应届三校生可以报考专科自主招生考试，也可以在秋季统一高考（含1月份外语考试）和三校生高考中选择一项进行报考。需要注意的是，只有选择了秋季统一高考，方可选择本市艺体类专业统一考试；若选择三校生高考，则不可选择本市艺体类专业统一考试。,"['（本市学籍应届三校生，可以报考，专科自主招生考试）', '（本市学籍应届三校生，可选择报考，秋季统一高考）', '（本市学籍应届三校生，可选择报考，三校生高考）', '（秋季统一高考，包含，1月份外语考试）', '（秋季统一高考，允许选择，本市艺体类专业统一考试）', '（三校生高考，不可选择，本市艺体类专业统一考试）']"
高考学考,秋考,报名篇,问：考生家长未达到居住证标准积分，考生是否可以参加秋考？（持有积分未达到标准分值的《上海市居住证》持证人的同住子女可以报考哪些考试项目？）答：考生为持有积分未达到标准分值的《上海市居住证》持证人的同住子女，且参加本市全日制普通中等职业学校自主招生考试并完成全日制中等职业教育完整学习经历的毕业生，以及长三角示范区职教一体化招收的在本市中等职业学校就读的吴江、嘉善两地学生并完成全日制中等职业教育的毕业生。其中应届毕业生只可参加3月专科层次依法自主招生考试和5月招收中等职业学校应届毕业生考试的专科层次录取，往届毕业生只可参加3月专科层次依法自主招生考试。,"['（考生家长，未达到，居住证标准积分）', '（考生家长，持有，上海市居住证）', '（同住子女，可参加，全日制普通中等职业学校自主招生考试）', '（同住子女，完成，全日制中等职业教育）', '（应届毕业生，可参加，3月专科层次依法自主招生考试）', '（应届毕业生，可参加，5月招收中等职业学校应届毕业生考试）', '（往届毕业生，可参加，3月专科层次依法自主招生考试）', '（长三角示范区职教一体化，招收，吴江）', '（长三角示范区职教一体化，招收，嘉善）', '（吴江，就读于，中等职业学校）', '（嘉善，就读于，中等职业学校）', '（5月招收中等职业学校应届毕业生考试，对应，专科层次录取）']"
高考学考,秋考,报名篇,问：听说三校生高考比秋考容易，考生目前就读高中应届毕业。是否可以报考三校生高考？（考生是本市户籍，但在外省市就读中职校，是否可以报考本市三校生高考？）答：不可以，三校生高考仅限本市学籍应届毕业三校生报考。,"['（三校生高考，比...容易，秋考）', '（考生，具有，本市户籍）', '（考生，就读于，外省市就读中职校）', '（三校生高考，报考条件，本市学籍应届毕业三校生）', '（考生，属于，高中应届毕业）']"
高考学考,秋考,报名篇,问：考生是新疆中职班应届毕业生（西藏中职班），是否可以参与秋考，报考本科院校？答：考生为本市新疆中职班、西藏中职班应届毕业生（名单由市教委锁定），只可报名参加专科自主招生考试。,"['（新疆中职班应届毕业生，属于，新疆中职班）', '（西藏中职班应届毕业生，属于，西藏中职班）', '（本市新疆中职班，属于，新疆中职班）', '（考生，不可参与，秋考）', '（考生，不可报考，本科院校）', '（考生，可报名参加，专科自主招生考试）', '（秋考，属于，高考学考）', '（报名篇，属于，秋考）', '（专科自主招生考试，属于，高考学考）']"
高考学考,秋考,报名篇,问：是否有各类考试项目兼报一览表？答：详见附件高考报名相关图表。,"['（高考学考，关联，秋考）', '（秋考，关联，报名篇）', '（各类考试项目兼报一览表，详见，附件高考报名相关图表）']"
高考学考,秋考,报名篇,问：考生是本市户籍，目前只有初中学历，是否可以参加高考？（本市户籍同等学力如何参加高考？）答：本市户籍考生取得初中学历满三年及以上，请联系户口所在区招考机构进行材料审核。通过审核方可参加高考。,"['（高考学考，包含，秋考）', '（高考学考，包含，报名篇）', '（本市户籍，需满足，初中学历）', '（初中学历，需满，三年及以上）', '（本市户籍，需联系，区招考机构）', '（区招考机构，审核，材料审核）', '（材料审核，通过后可参加，高考）']"
高考学考,秋考,报名篇,问：报名操作界面是怎样的？答：本市应届高中、中职校应届毕业生由学籍库信息转入。,"['（高考学考，包含，秋考）', '（秋考，包含，报名篇）', '（报名篇，包含，报名操作界面）', '（本市应届高中，通过，学籍库信息）', '（中职校应届毕业生，通过，学籍库信息）']"
高考学考,秋考,报名篇,问：考生是在籍在校应届毕业生，高中老师联系家长说是报名时姓名/身份证错误怎么办，家长很着急是不是能直接通过考试院反映情况？答：应届高中生的学籍号、姓名、身份证号码错误，请老师在学籍系统里面修改。如班主任不清楚相关事项，请班主任联系学籍管理老师，同时请家长准备相关材料，向学校提出书面申请及身份证复印件等相关材料，敲章后给区招考机构，由区招考机构报送考试院。,"['（高中老师，联系，家长）', '（在籍在校应届毕业生，属于，考生）', '（学籍系统，修改，姓名/身份证错误）', '（班主任，联系，学籍管理老师）', '（家长，准备，相关材料）', '（书面申请，提交至，学校）', '（学校，提交至，区招考机构）', '（区招考机构，报送，考试院）']"
高考学考,秋考,报名篇,问：报名登录页面操作重点是什么？答：个人简历请从高中阶段开始填写，至少填写一条。家庭成员：至少填写一条信息。,"['（报名登录页面，包含操作要求，个人简历）', '（报名登录页面，包含操作要求，家庭成员）', '（个人简历，起始时间范围，高中阶段）', '（个人简历，最低填写要求，至少填写一条信息）', '（家庭成员，最低填写要求，至少填写一条信息）']"
高考学考,秋考,报名篇,问：选择报名考试项目的操作重点是什么？答：请根据自身情况选择报考。选择秋季高考，必须有三门等级考报名，才可参加本科录取。10月大报名时勾选的3门学业水平等级考科目并不能成为次年5月学业水平等级考的报考依据，仅作为信息采集。如后续更改学业水平等级考相关科目，请于次年3月考试报名前，在校生与学校联系沟通，其他考生请在报名时自行更改。选择外语语种时需注意，外语考试一年两考，两次外语考试的语种必须一致。	一旦选择无法更改。,[]
高考学考,秋考,报名篇,问：考生是否可以只报考春考外语，不报考语数？答：可以，仅选择一月份外语考试即可。,"['（春考，包含科目，外语）', '（春考，包含科目，语数）', '（一月份外语考试，属于，春考）', '（春考，允许不报考，语数）']"
高考学考,秋考,报名篇,问：报名时选择考试是否会有自动关联操作？答：选择一月份外语考试将默认勾选秋季高考。选择春季高考包含一月份外语考试，无需额外勾选。应届毕业三校生不得选择春季高考。,"['（一月份外语考试，关联，秋季高考）', '（春季高考，包含，一月份外语考试）', '（应届毕业三校生，不得选择，春季高考）']"
高考学考,秋考,报名篇,问：考生是本市户口本市应届毕业三校生，现在对自己的实力不确定，想参加三校生高考又想参加秋考，是否可以现在2个都勾选，然后等到考试的时候前再决定去不去？答：不可以，符合报考条件的考生在三校生高考与秋季高考中只能二选一。,"['（考生，户籍，本市户口）', '（考生，属于，本市应届毕业三校生）', '（三校生高考，互斥选择，秋季高考）', '（高考学考，关联，秋考）', '（报名篇，属于，高考学考）']"
高考学考,秋考,报名篇,问：考生7门高中学业水平合格考中有部分或1门没有合格，是否可以报考春考？答：可以报考，但需要特别注意的是，如在高考大报名后学业水平合格性考试补考未通过，考生将不能填报春考志愿。,"['（高中学业水平合格考，影响，春考志愿）', '（学业水平合格性考试补考，影响，春考志愿）', '（高考大报名，前提条件，春考）']"
高考学考,秋考,报名篇,问：考生是上海户口，但是在外省市读高中，是否可以参加上海的春考并参与录取？（符合报考条件的本市户口外省市学籍应届高中毕业生是否要参加上海的合格考？）答：符合报考资格的本市户籍外省市学籍应届高中毕业生，其各科目的学业水平合格性考试成绩须经市教育考试院统一认定后方可视为有效，具体事项申请留意“上海招考热线”网站（www.shmeea.edu.cn）—首页—高考学考—高中学业考栏目内发布的“上海市普通高中学业水平合格性考试（2023年12月和2024年1月）报名问答”。,"['（考生，具有，上海户口）', '（考生，具有，外省市学籍）', '（学业水平合格性考试成绩，需经认定，市教育考试院）', '（上海招考热线网站，包含，高中学业考栏目）', '（高中学业考栏目，发布，上海市普通高中学业水平合格性考试（2023年12月和2024年1月）报名问答）', '（上海市普通高中学业水平合格性考试（2023年12月和2024年1月）报名问答，涉及，2023年12月）', '（上海市普通高中学业水平合格性考试（2023年12月和2024年1月）报名问答，涉及，2024年1月）']"
高考学考,秋考,报名篇,问：考生是否可以只报考秋考，不报考等级考试。后续只参加专科录取工作。答：可以。,"['（考生，报考，秋考）', '（考生，不报考，等级考试）', '（秋考，关联，专科录取工作）']"
高考学考,秋考,报名篇,问：考生在报名的时候发现自己无法勾选专科自主招生？答：请确认考生是否为中高职贯通、中本贯通、五年一贯制、新疆高中班、西藏高中班学生。此类考生无法报考专科自主招生。,"['（高考学考，包含，秋考）', '（秋考，关联，报名篇）', '（报名篇，涉及，专科自主招生）', '（考生，参与，报名篇）', '（考生，无法勾选，专科自主招生）', '（中高职贯通，无法报考，专科自主招生）', '（中本贯通，无法报考，专科自主招生）', '（五年一贯制，无法报考，专科自主招生）', '（新疆高中班，无法报考，专科自主招生）', '（西藏高中班学生，无法报考，专科自主招生）']"
高考学考,秋考,报名篇,问：中高职贯通、五年一贯制无法勾选？答：请确认考生是否在中招时被该类学制学校录取，如无法确定请考生或家长联系在读学校。,"['（高考学考，包含，秋考）', '（秋考，包含，报名篇）', '（报名篇，涉及，中高职贯通）', '（报名篇，涉及，五年一贯制）', '（考生，参加，中招）', '（考生，就读于，在读学校）']"
高考学考,秋考,报名篇,问：报考艺考的操作重点是什么？答：,"['（高考学考，包含，秋考）', '（秋考，包含，报名篇）', '（报名篇，指导，报考艺考）', '（报考艺考，涉及，操作重点）']"
高考学考,秋考,报名篇,问：为何选择无法选择艺术类统一考试或体育类统一考试？答：请先确认是否勾选秋季高考，只有勾选了秋考才可勾选艺体类考试。,"['（秋季高考，简称，秋考）', '（秋考，是前提条件，艺体类考试）', '（艺体类考试，包含，艺术类统一考试）', '（艺体类考试，包含，体育类统一考试）']"
高考学考,秋考,报名篇,问：考生已经勾选了一项大类的艺术考试。想修改成其他大类的艺术类考试无法操作？答：请先将之前勾选的艺术类考试取消，再更改成想要报考的艺术类考试类型。,"['（考生，勾选，艺术考试）', '（艺术考试，属于，艺术类考试）', '（考生，需取消，艺术类考试）', '（考生，可更改，艺术类考试类型）', '（艺术类考试类型，属于，艺术类考试）']"
高考学考,秋考,报名篇,问：可以报考多个大类的艺术类考试吗？答：不可以。,[]
高考学考,秋考,报名篇,问：可以同时报考艺术类统考和体育类的统考吗？答：可以。,"['（秋考，属于，高考学考）', '（报名篇，属于，秋考）', '（艺术类统考，可同时报考，体育类统考）', '（艺术类统考，属于，秋考）', '（体育类统考，属于，秋考）']"
高考学考,秋考,报名篇,问：艺术类考生如何更改统考类别？答：艺术类考试报名后，须仔细核对报考类别，在报名系统开放时间内可修改报考信息（含统考类别、舞种、音乐的主项副项、器种、演唱类型等），一旦报名截止，不得修改和补报统考类别信息。按照勾选项目收费安排考场，无退费。,"['（报考信息，包含，统考类别）', '（报考信息，包含，舞种）', '（报考信息，包含，音乐的主项副项）', '（报考信息，包含，器种）', '（报考信息，包含，演唱类型）', '（勾选项目，关联，收费安排）', '（勾选项目，关联，考场）', '（报名截止，禁止修改，统考类别）', '（收费安排，无，退费）']"
高考学考,秋考,报名篇,问：考生准备报考三校生高考中的艺体类专业或专科自主招生考试的艺体类专业，如何报考艺术类或体育类考试？答：专科自主招生考试和三校生高考中的艺体类专业测试由各招生院校自行组织。无需在报名时勾选艺术类或体育类统考。,"['（三校生高考，包含，艺体类专业）', '（专科自主招生考试，包含，艺体类专业）', '（专科自主招生考试，专业测试由，招生院校）', '（三校生高考，专业测试由，招生院校）', '（艺体类专业，无需勾选，艺术类或体育类统考）']"
